day,mean,std,min,max
1,25.0,,25.0,25.0
2,24.7,,24.7,24.7
3,25.1,,25.1,25.1
4,25.3,,25.3,25.3
5,24.7,,24.7,24.7
6,25.2,,25.2,25.2
7,24.8,,24.8,24.8
8,25.4,,25.4,25.4
9,25.1,,25.1,25.1
10,24.7,,24.7,24.7
11,24.1,,24.1,24.1
12,25.9,,25.9,25.9
13,25.1,,25.1,25.1
14,24.8,,24.8,24.8
15,24.2,,24.2,24.2
16,24.9,,24.9,24.9
17,24.9,,24.9,24.9
18,24.7,,24.7,24.7
19,24.2,,24.2,24.2
20,24.9,,24.9,24.9
21,24.7,,24.7,24.7
22,24.9,,24.9,24.9
23,25.3,,25.3,25.3
24,25.3,,25.3,25.3
25,25.4,,25.4,25.4
26,25.9,,25.9,25.9
27,24.5,,24.5,24.5
28,24.7,,24.7,24.7
29,25.7,,25.7,25.7
30,25.0,,25.0,25.0
31,24.9,,24.9,24.9
